Date,Ln return
3/3/2021,0.002756253
4/3/2021,-0.013571573
5/3/2021,-0.005107734
8/3/2021,-0.00164452
9/3/2021,-0.007843458
10/3/2021,0.010435031
12/3/2021,0.01481935
15/3/2021,-0.005353891
16/3/2021,-0.002304832
17/3/2021,-0.005159522
18/3/2021,0.011184395
19/3/2021,0.001311565
22/3/2021,-0.008695327
23/3/2021,-0.007713843
24/3/2021,-0.015565296
25/3/2021,-0.005418063
26/3/2021,0.011801314
29/3/2021,-0.004650268
30/3/2021,-0.015586841
31/3/2021,-0.014252573
1/4/2021,0.004323443
5/4/2021,-0.006872137
6/4/2021,0.005426178
7/4/2021,0.005622592
8/4/2021,0.005798979
9/4/2021,-0.000249571
12/4/2021,-0.020242373
13/4/2021,-0.003559078
14/4/2021,0.020512288
15/4/2021,0.004818746
16/4/2021,0.001110796
